EL1: Electronic Ladder,A1: DNA-1,B1: DNA-2,C1: DNA-3,D1: RNA-1,E1: RNA-2,F1: RNA-3,G1: RNA-4,H1: RNA-5
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.5703775,0,0,0,0,0,0,0
0,0.8729177,0,0,0,0,0,0,0
0,0.8995328,0,0,0,0,0,0,0
0,0.8351161,0,0,0,0,0,0,0
0,0.6668324,0,0,0,0,0,0,0
0,0.3219655,0.3934834,0,0,0,0,0.4420763,0
0,0.0808655,0.3537359,0,0,0,0.03348429,0.598956,0.2458991
0,0.2212134,0.3041821,0,0,0,0.3814502,0.3038256,0.5794666
0,0.3141277,0.3235121,0,0,0,0.6068969,0.1874344,0.8853455
0,-0.01418115,0.4245683,0,0,0,0.6044998,0.08432399,0.8111865
0,0.334736,0.6357612,0,0,0.003248133,0.3309418,0.1210283,0.9731276
0,1.196516,0.7485551,0,0,0.0313596,0.1093781,0.4344777,1.085302
0,1.863257,0.8879615,0,0,0.0653185,0.09143921,0.7344618,0.9971167
0,2.076615,0.7615443,0.5457124,0.1781218,0.2261979,0.1235939,0.8038173,0.7555968
0,2.046041,0.7809648,0.9844713,0.5145645,0.3176171,0.4673011,0.7664704,0.4290719
0,1.632758,0.7059492,0.9495753,0.9183656,0.4392544,0.8480611,0.7253117,0.4491925
0,0.7317564,0.954431,0.926265,1.475641,0.6104375,1.071989,0.638034,0.2905385
0,0.2267755,1.167723,1.273351,1.949247,0.6279216,0.9712391,0.5776744,0.2410414
0,0.1842776,1.301043,1.458827,1.993579,0.5566652,0.9342769,0.7591841,0.607657
0,0.2446915,1.288883,1.198337,1.876448,0.5054186,0.7942077,0.8925621,0.7697542
0,0.1529031,1.15968,0.9852899,2.135506,0.4901982,0.8650387,0.8850029,1.210574
0,0.08565538,0.8256841,0.5675874,2.239639,0.4924804,0.9464234,1.032907,1.129333
0,0.3389474,0.5477749,0.223319,2.225841,0.7162457,0.7532644,0.7400578,1.465607
0,0.4572083,0.5903612,0.01699638,2.559585,0.7848011,0.6736645,0.4709128,1.719602
0,0.4411498,0.537966,0.1219719,2.341808,0.8416942,0.586728,0.2895062,1.488549
0,0.3764174,0.5762151,0.4688025,1.936903,0.8572426,0.6541291,0.1988266,1.301746
0,0.3369881,0.3919514,0.8657314,1.170766,0.7842962,0.7171092,0.2763045,0.9893628
0,0.2597827,0.2491539,1.020014,1.025088,0.687958,0.9366689,0.610433,1.15683
0,0.1097496,0.09193392,0.8740626,1.08638,0.666236,0.9964733,0.8900557,1.115594
0,0.3432443,0.02585534,0.8375662,0.8381692,0.652189,0.9021761,0.9796474,1.091258
0.2588824,0.4336949,0.3358631,1.080628,0.9998426,0.6233087,0.8162444,1.058848,1.3103
3.151757,0.416596,0.8770691,0.9234723,1.189167,0.7107666,0.6727931,1.094872,1.608755
2.387134,0.261435,1.08602,0.916455,1.67097,0.8640008,0.5625461,1.173043,1.40605
2.279542,0.3446707,1.060424,0.8795142,1.768146,1.04927,0.6800243,1.223911,0.7550848
2.26863,0.3811182,0.9586723,0.917521,2.075816,1.272664,0.6296167,1.327389,0.5597337
2.440574,0.3294013,0.7109178,0.7499043,2.383011,1.249486,0.5791778,1.314348,0.4371966
2.069977,0.2766699,0.4992015,0.8338743,2.250009,1.10285,0.5998342,1.356376,0.3776093
1.592453,0.4557195,0.546666,0.9510022,2.154,1.006902,0.6888903,1.354667,0.4007961
1.446102,0.5395402,0.787065,0.6831608,1.666079,0.958954,0.7963833,1.218818,0.72097
1.122415,0.499006,0.7577114,0.5693399,1.386886,1.041096,0.990008,1.046358,0.8785833
0.8626081,0.6171718,0.903532,0.2603192,1.091883,1.177288,1.331502,1.002689,0.7288264
1.286999,0.681329,0.9675784,0.1890586,1.099636,1.351395,1.350422,1.053187,0.6621712
0.6684486,0.6104993,0.8410137,0.03184744,1.325417,1.212254,1.412659,0.9080813,0.8631377
0.1376522,0.5433564,0.6565849,0.2906299,1.770746,1.116393,1.19535,0.9402544,1.217172
1.172998,0.5764437,0.4557242,0.285103,2.261373,1.22315,1.19879,1.063012,1.581031
2.166949,0.5659685,0.3291655,0.3206423,1.986571,1.296831,1.36459,1.153524,1.644853
1.992261,0.4139508,0.3345033,0.5823367,1.869989,1.453758,1.469444,1.382784,1.65813
2.529883,0.2553161,0.8019553,0.77426,1.656132,1.456974,1.796176,1.738344,1.525915
2.84238,0.1252643,1.225066,0.8035157,1.701877,1.432946,2.053476,2.124963,1.011021
2.471285,0.07108475,1.812704,0.8696311,1.469537,1.342136,2.232739,2.240027,0.6884686
2.320466,0.1286056,1.996189,1.220261,1.450132,1.336048,2.036315,2.362537,0.6778682
2.064981,0.2577617,2.081056,1.511932,1.71772,1.521345,2.012747,2.466478,0.9390711
1.102978,0.3143705,1.885477,1.666007,1.713549,1.675962,2.127891,2.447355,1.551997
0.5344045,0.3729533,1.729033,2.183337,2.248565,1.87452,2.136534,2.468924,1.9807
0.2519679,0.5866,1.739519,2.360126,2.310209,2.015242,2.217823,2.581906,2.206878
0.4329904,0.6440285,1.72609,2.136436,2.617492,2.188754,2.521643,2.778685,2.068273
0.375576,0.675777,1.761233,2.223808,2.477122,2.365535,2.779664,2.87437,2.0042
0.7575169,0.6841069,1.631012,2.130352,2.544031,2.464098,2.703031,2.874544,1.889051
0.7737603,0.7440972,2.051897,2.238492,2.677359,2.749919,2.985644,2.935119,1.769652
0.2694563,0.7537494,2.385763,2.46994,2.878668,2.784973,3.573392,3.149047,2.073619
0.03056533,0.750596,2.543782,2.907168,3.112217,3.039727,3.965262,3.31293,2.694301
0.3578767,0.8671926,2.960624,3.283762,3.183546,3.416569,4.096569,3.547682,3.191541
0.7033559,1.273671,3.550785,3.425666,3.524103,3.856966,4.329758,3.918219,3.743749
1.579044,1.668263,3.845411,3.489978,3.804291,4.111732,4.619909,4.228376,4.284666
2.32071,2.225626,3.919677,3.367621,4.209165,4.307004,4.646342,4.774069,4.580282
2.950224,2.617216,4.438787,3.597536,4.833527,4.707576,5.214967,5.480511,4.902369
3.464483,2.88011,5.06899,3.878305,5.0338,4.932482,6.187178,6.978575,5.406927
4.557166,3.536909,5.581778,4.031841,5.306861,5.642653,7.419688,8.70962,6.48019
5.717152,4.469292,6.537756,4.44228,5.956017,6.718374,9.133646,10.73104,7.268832
7.287486,5.619192,8.012651,5.112385,6.805008,8.313475,11.26508,13.12696,8.669954
10.4692,7.056146,9.843409,5.817715,8.065251,10.47618,14.05695,16.3411,10.30821
14.7602,9.341777,12.31566,6.690387,9.620286,13.44112,17.58465,20.8324,13.09682
20.55191,11.87533,16.07441,8.584686,11.79605,17.30345,21.84508,26.15861,16.6895
27.7206,16.10954,21.15696,11.02971,14.51844,22.24322,27.92266,33.32155,21.48436
36.07933,22.062,27.29768,14.22114,18.74702,28.06946,35.60005,43.08286,28.3794
45.71934,29.46878,35.21947,18.83132,24.67032,35.38529,45.94297,54.60296,36.99213
56.66132,38.35324,44.65923,24.82921,32.06014,45.67481,58.60473,68.96092,47.90786
71.44839,49.5735,56.34354,32.39174,42.21146,58.65309,73.70877,86.55722,62.78609
88.85204,64.85374,71.71242,43.1382,55.10794,74.61836,92.3534,106.5696,80.24316
110.6609,82.61234,90.91488,57.36201,72.00813,94.2583,114.8476,130.9205,102.0362
135.5279,105.0994,115.3967,75.99103,93.75121,118.0215,141.7816,157.9462,128.4848
165.5821,132.6902,144.3106,98.96644,120.6132,144.9391,173.2565,189.6034,161.1952
198.5816,164.2527,176.8826,126.335,153.5708,177.9227,210.2709,227.4695,198.8786
235.9957,202.3108,215.3835,160.1946,190.9909,214.1586,251.5898,269.8293,241.1808
279.4512,246.6753,257.9415,200.6705,237.391,255.0785,297.2636,318.332,289.9815
328.4946,297.9369,307.5143,248.6897,290.3545,300.8911,349.5062,372.9007,343.6003
382.4092,356.3642,363.9711,306.8958,347.2293,353.8537,406.0977,433.5154,402.4838
441.3119,424.0488,426.3819,370.1262,411.8479,414.9131,469.3375,497.1779,467.5128
505.0765,501.1526,492.4371,439.3757,484.0602,482.2613,537.0245,565.0251,538.8395
571.6174,585.2293,565.0183,515.9,565.6775,556.1252,610.3865,637.1791,616.0487
638.367,675.1474,644.1923,601.1748,652.1017,629.7104,687.541,712.6437,694.8813
706.1789,769.2355,729.9874,697.2099,746.0414,707.3792,767.7632,790.2117,775.9067
767.7487,868.5295,818.1625,801.1302,845.3337,786.1667,852.2723,872.6032,859.1959
829.1092,969.7476,907.4142,908.2352,943.843,869.9071,936.4432,951.0187,943.8647
892.0231,1069.542,994.2155,1011.02,1041.614,951.9867,1017.87,1024.977,1027.693
955.201,1170.718,1075.106,1112.651,1138.426,1031.758,1091.632,1095.233,1108
1021.251,1266.389,1154.636,1211.598,1229.075,1106.712,1159.147,1157.989,1180.848
1080.399,1354.961,1223.465,1300.551,1312.952,1175.447,1219.331,1218.443,1244.731
1130.524,1433.584,1289.201,1387.849,1391.387,1239.322,1275.458,1268.106,1300.253
1173.049,1505.746,1348.15,1471.266,1462.459,1296.761,1324.698,1314.846,1346.183
1210.134,1565.929,1392.839,1540.579,1516.371,1346.558,1363.627,1348.728,1382.422
1241.454,1611.845,1428.458,1599.717,1558.726,1387.674,1394.245,1376.285,1408.698
1266.141,1644.271,1451.7,1644.447,1586.045,1417.737,1412.935,1394.059,1428.412
1281.336,1658.757,1465.721,1671.404,1601.833,1433.994,1419.41,1400.024,1430.746
1280.326,1655.961,1463.443,1675.4,1604.807,1440.351,1416.156,1397.943,1424.38
1272.266,1641.077,1456.116,1668.472,1599.555,1437.953,1406.447,1382.071,1401.965
1257.952,1614.424,1436.768,1648.367,1572.161,1422.032,1388.534,1360.953,1371.013
1235.567,1578.084,1399.286,1618.664,1531.864,1397.619,1360.751,1329.367,1328.986
1208.294,1530.092,1353.797,1575.578,1482.303,1363.436,1325.561,1293.32,1281.756
1170.759,1471.537,1301.389,1520.529,1414.254,1322.119,1282.287,1249.841,1235.6
1125.518,1403.644,1241.57,1454.668,1343.954,1274.205,1232.32,1200.148,1184.602
1073.425,1325.195,1179.998,1376.499,1272.06,1219.715,1173.748,1144.999,1128.51
1021.996,1244.509,1117.628,1293.217,1197.737,1158.21,1113.481,1084.214,1059.021
968.6837,1165.598,1046.999,1202.92,1116.588,1096.923,1048.459,1022.805,985.9195
913.2307,1072.281,970.749,1116.802,1037.684,1029.69,983.268,953.8044,913.5755
857.4514,981.8904,898.0448,1026.006,959.0271,957.7073,917.1988,885.2047,839.625
801.203,897.4253,825.4341,933.2245,875.5999,885.9882,848.6606,815.4559,770.7298
748.843,812.0115,751.5171,849.4656,791.4826,813.1765,781.8268,747.3871,700.1459
694.7668,734.4525,680.9238,769.2736,712.29,741.4719,714.0265,679.4287,631.9352
642.0506,664.9109,616.9183,691.4492,637.4725,672.2738,647.5803,613.6834,564.1871
588.9643,603.0751,551.5145,617.8735,568.2515,608.8883,583.7278,548.9094,501.3338
538.4634,536.6027,491.3119,553.1198,504.9994,545.916,523.942,486.0825,445.4323
490.0274,477.5828,437.3603,491.4061,450.7382,488.0511,468.9389,427.7644,393.3387
445.5099,425.7204,391.4152,433.3477,403.0395,430.88,416.1152,371.7532,348.5845
404.3232,376.9071,347.4846,383.9337,358.9194,376.0984,370.3019,322.1945,307.1441
