reporter	best_category	count
-1	blank_mispriming	430591
-1	unidentifiable_barcode	13737
-1	RT_error	457
-1	RE_not_cloned	67
6merx1_1	PCR_chimera	472
6merx1_1	full_length	197
6merx1_1	spacer_not_cloned	30
6merx1_1	ambiguous_deletion	17
6merx1_10	full_length	56
6merx1_10	ambiguous_deletion	8
6merx1_10	PCR_chimera	3
6merx1_10	RE_not_cloned	1
6merx1_2	full_length	61
6merx1_2	PCR_chimera	7
6merx1_2	ambiguous_deletion	3
6merx1_2	spacer_not_cloned	1
6merx1_3	full_length	132
6merx1_3	PCR_chimera	48
6merx1_3	ambiguous_deletion	14
6merx1_3	spacer_not_cloned	2
6merx1_4	PCR_chimera	33
6merx1_4	full_length	28
6merx1_4	spacer_not_cloned	11
6merx1_4	ambiguous_deletion	1
6merx1_5	full_length	6
6merx1_5	spacer_not_cloned	1
6merx1_6	full_length	335
6merx1_6	PCR_chimera	40
6merx1_6	ambiguous_deletion	18
6merx1_7	full_length	46
6merx1_7	ambiguous_deletion	13
6merx1_7	spacer_not_cloned	11
6merx1_8	full_length	208
6merx1_8	PCR_chimera	80
6merx1_8	ambiguous_deletion	17
6merx1_8	spacer_not_cloned	2
6merx1_9	full_length	270
6merx1_9	ambiguous_deletion	15
6merx1_9	PCR_chimera	8
6merx1_9	spacer_not_cloned	5
6merx2_1	full_length	63
6merx2_1	ambiguous_deletion	12
6merx2_1	PCR_chimera	4
6merx2_1	spacer_not_cloned	3
6merx2_10	full_length	140
6merx2_10	PCR_chimera	126
6merx2_10	ambiguous_deletion	10
6merx2_2	ambiguous_deletion	16
6merx2_2	full_length	15
6merx2_3	full_length	101
6merx2_3	spacer_not_cloned	14
6merx2_3	ambiguous_deletion	7
6merx2_3	PCR_chimera	3
6merx2_4	full_length	109
6merx2_4	spacer_not_cloned	19
6merx2_4	ambiguous_deletion	17
6merx2_4	PCR_chimera	8
6merx2_5	full_length	211
6merx2_5	PCR_chimera	25
6merx2_5	ambiguous_deletion	9
6merx2_5	spacer_not_cloned	8
6merx2_6	PCR_chimera	25
6merx2_6	full_length	17
6merx2_6	spacer_not_cloned	15
6merx2_6	ambiguous_deletion	6
6merx2_7	full_length	233
6merx2_7	spacer_not_cloned	22
6merx2_7	PCR_chimera	8
6merx2_7	ambiguous_deletion	7
6merx2_8	PCR_chimera	211
6merx2_8	full_length	110
6merx2_8	ambiguous_deletion	44
6merx2_8	spacer_not_cloned	29
6merx2_9	PCR_chimera	65
6merx2_9	full_length	57
6merx2_9	spacer_not_cloned	19
6merx2_9	ambiguous_deletion	6
6merx4_1	PCR_chimera	1
6merx4_10	full_length	2
6merx4_2	full_length	26
6merx4_2	ambiguous_deletion	1
6merx4_3	full_length	124
6merx4_3	PCR_chimera	42
6merx4_3	ambiguous_deletion	1
6merx4_4	spacer_not_cloned	57
6merx4_4	full_length	53
6merx4_4	ambiguous_deletion	3
6merx4_4	PCR_chimera	2
6merx4_5	PCR_chimera	80
6merx4_5	full_length	33
6merx4_5	ambiguous_deletion	1
6merx4_6	spliced-ACCTCC_283_GACAGT_334	778
6merx4_6	ambiguous_deletion	66
6merx4_6	spliced-ACCTCC_184_GACAGT_334	3
6merx4_6	AG_junction_high_mismatch-ACCTCC_283_GACAGT_334	2
