reporter	class	count
6merx1_1	chimeric	328
6merx1_1	full_length	18
6merx1_1	ambiguous	4
6merx1_10	full_length	6
6merx1_10	ambiguous	1
6merx1_10	chimeric	1
6merx1_2	full_length	5
6merx1_3	chimeric	68
6merx1_3	full_length	22
6merx1_3	CTTCTA_180_TTGCCA_280	1
6merx1_3	ambiguous	1
6merx1_4	chimeric	23
6merx1_4	full_length	2
6merx1_4	ambiguous	1
6merx1_5	full_length	1
6merx1_6	full_length	39
6merx1_6	chimeric	30
6merx1_6	ambiguous	2
6merx1_6	RT_error	1
6merx1_7	ambiguous	6
6merx1_7	chimeric	1
6merx1_7	full_length	1
6merx1_8	full_length	21
6merx1_8	chimeric	12
6merx1_8	ambiguous	4
6merx1_9	full_length	31
6merx1_9	ambiguous	7
6merx1_9	chimeric	2
6merx2_1	full_length	20
6merx2_1	ambiguous	9
6merx2_10	chimeric	59
6merx2_10	full_length	41
6merx2_10	ambiguous	3
6merx2_2	full_length	4
6merx2_3	full_length	40
6merx2_3	ambiguous	6
6merx2_3	chimeric	6
6merx2_4	full_length	35
6merx2_4	ambiguous	10
6merx2_4	chimeric	4
6merx2_5	full_length	60
6merx2_5	chimeric	37
6merx2_5	ambiguous	6
6merx2_6	chimeric	7
6merx2_6	full_length	1
6merx2_7	full_length	73
6merx2_7	ambiguous	11
6merx2_7	chimeric	2
6merx2_8	cannot_find_barcode	300
6merx2_9	chimeric	78
6merx2_9	full_length	12
6merx2_9	ambiguous	4
6merx4_1	full_length	33
6merx4_10	full_length	11
6merx4_2	full_length	54
6merx4_2	ambiguous	2
6merx4_3	cannot_find_barcode	272
6merx4_4	full_length	109
6merx4_4	ambiguous	71
6merx4_4	chimeric	2
6merx4_5	full_length	66
6merx4_5	chimeric	60
6merx4_5	ambiguous	2
6merx4_6	full_length	57
6merx4_7	full_length	78
6merx4_7	ambiguous	40
6merx4_7	chimeric	16
6merx4_8	full_length	298
6merx4_8	chimeric	94
6merx4_8	ambiguous	35
6merx4_9	full_length	120
6merx4_9	ambiguous	2
7mera1x1_1	chimeric	351
7mera1x1_1	full_length	39
7mera1x1_1	ambiguous	12
7mera1x1_10	cannot_find_barcode	62
7mera1x1_2	chimeric	28
7mera1x1_2	full_length	18
7mera1x1_2	ambiguous	1
7mera1x1_3	chimeric	105
7mera1x1_3	full_length	60
7mera1x1_3	ambiguous	8
7mera1x1_4	chimeric	27
7mera1x1_4	full_length	16
7mera1x1_4	ambiguous	6
7mera1x1_5	full_length	14
7mera1x1_6	full_length	11
7mera1x1_7	full_length	2
